train_acc,train_loss,val_acc,val_loss
0.04431578947368422,4.2639084,0.0848,3.9414334
0.09922105263157895,3.7941606,0.12359999999999999,3.58799
0.15928421052631578,3.446579,0.18,3.323277
0.20871578947368422,3.1502497,0.23800000000000002,2.9838028
0.25233684210526314,2.911736,0.2808,2.7816935
0.2935789473684211,2.708962,0.2936,2.6983323
0.3216631578947368,2.5593328,0.33039999999999997,2.543845
0.3484631578947368,2.437408,0.358,2.480621
0.37673684210526315,2.3261292,0.3772,2.3390167
0.3918105263157895,2.2486987,0.3948,2.2751184
0.4080631578947368,2.1801465,0.3956,2.3154929
0.42343157894736844,2.1083405,0.4164,2.2219796
0.43724210526315793,2.0566595,0.42480000000000007,2.1913178
0.44505263157894737,2.0136702,0.40919999999999995,2.25493
0.4580631578947368,1.971319,0.43079999999999996,2.0852673
0.4659368421052632,1.9295657,0.42119999999999996,2.104873
0.4757473684210527,1.9025939,0.4292,2.1782885
0.48501052631578945,1.855142,0.44880000000000003,2.0507843
0.4928,1.8208843,0.44799999999999995,2.032809
0.5007157894736842,1.7918853,0.4556,2.033903
0.5055157894736843,1.768985,0.46759999999999996,1.9816144
0.5135157894736843,1.7445871,0.4736,1.9358201
0.5207578947368421,1.7185806,0.48519999999999996,1.9124752
0.5210105263157895,1.6991743,0.48120000000000007,1.9250447
0.5297473684210525,1.6701871,0.46919999999999995,1.9479741
0.5353473684210527,1.649838,0.4700000000000001,1.9626036
0.5409052631578948,1.628349,0.4860000000000001,1.8588072
0.548442105263158,1.6031624,0.4832,1.8864447
0.5477263157894736,1.5931937,0.47919999999999996,1.920088
0.5547578947368421,1.5658412,0.5052,1.8521978
0.5609684210526317,1.5449827,0.488,1.9373555
0.5629052631578947,1.5353976,0.4935999999999999,1.8922354
0.5687578947368421,1.5115731,0.4996,1.8177446
0.5759789473684211,1.4886773,0.5131999999999999,1.7958183
0.5761052631578947,1.4874625,0.498,1.8728
0.5843789473684211,1.4569212,0.5047999999999999,1.8780293
0.5859789473684212,1.4465507,0.506,1.8462149
0.5880421052631578,1.4248435,0.5128,1.7823049
0.5938947368421054,1.4045451,0.5132,1.8061556
0.5958947368421053,1.4013261,0.5172,1.8116516
0.6016421052631579,1.3813069,0.5344000000000001,1.7999045
0.6073894736842105,1.3541884,0.5287999999999999,1.7716548
0.608336842105263,1.3497599,0.5284,1.7685738
0.6118947368421054,1.3359889,0.5232000000000001,1.830441
0.6202736842105263,1.3105838,0.5204,1.8190074
0.619263157894737,1.3037492,0.5331999999999999,1.7933605
0.6257052631578948,1.2799104,0.5316,1.8283446
0.6283368421052632,1.2655168,0.5379999999999999,1.731037
0.6334947368421052,1.2495853,0.5276,1.7700365
0.6381263157894738,1.2369958,0.5376,1.8150413
0.6430105263157895,1.2236177,0.5356000000000001,1.7887007
0.6464,1.2017142,0.5288,1.823739
0.6493894736842105,1.1901033,0.5348,1.7870483
0.6555368421052632,1.1717942,0.5375999999999999,1.7279031
0.6575157894736842,1.1551179,0.5419999999999999,1.8050135
0.6590526315789474,1.1479543,0.5432,1.7904692
0.6616842105263157,1.1373193,0.5364,1.817672
0.6681684210526315,1.1115294,0.5476,1.7477617
0.673178947368421,1.0948799,0.5539999999999999,1.7679998
0.6784210526315789,1.0848757,0.5532,1.7711799
0.6804631578947369,1.0713562,0.55,1.7756537
0.6837894736842105,1.056569,0.5572,1.7299299
0.688021052631579,1.0397112,0.5408,1.8311113
0.6946736842105263,1.0224285,0.5504,1.818581
0.697178947368421,1.007337,0.5536,1.7791915
0.6998315789473685,0.9923317,0.5544,1.7980065
0.7017894736842106,0.98193026,0.5532,1.8298678
0.7097052631578947,0.96928924,0.5532,1.7766238
0.7106736842105262,0.9594174,0.5552,1.8113303
0.7131368421052632,0.94763917,0.5611999999999999,1.7954869
0.7173263157894737,0.92675215,0.5604,1.8492556
0.7206736842105264,0.9202038,0.5544,1.8456899
0.7223157894736842,0.9073257,0.5592,1.8177496
0.7292631578947368,0.89342785,0.56,1.8373137
0.7302315789473685,0.8828107,0.5660000000000001,1.8042396
0.7326315789473684,0.8686127,0.5516,1.8663852
0.7384842105263157,0.8604398,0.5596,1.9035434
0.7404,0.851628,0.5708,1.8564807
0.7412,0.8412923,0.5648,1.8577647
0.7439368421052631,0.83782715,0.566,1.8695887
0.7474736842105265,0.82735467,0.5648000000000001,1.9172348
0.7489894736842106,0.81236094,0.5648,1.9151682
0.752021052631579,0.80810267,0.5716,1.895781
0.7579999999999999,0.79266024,0.5712,1.9348317
0.7590315789473685,0.78543746,0.5623999999999999,1.9298773
0.7596631578947368,0.78220594,0.5608,1.9434961
0.7611789473684211,0.7733007,0.5619999999999999,1.9560078
0.7622947368421054,0.7731766,0.5676,1.9430121
0.7679157894736842,0.75955194,0.5644,1.9685261
0.7637894736842106,0.75968367,0.5676,1.9569069
0.7665684210526316,0.7534982,0.5640000000000001,1.962233
0.7672,0.75463486,0.5636,1.9629561
0.768,0.7463894,0.5668,1.9604204
0.7697684210526315,0.741106,0.566,1.9834193
0.7695789473684209,0.7456412,0.564,1.9619831
0.774,0.7342573,0.5596,1.9711529
0.7714736842105263,0.73513055,0.5660000000000001,1.9687515
0.7745263157894736,0.730939,0.5668,1.9625245
0.7741263157894737,0.73145455,0.5636,1.9856734
0.7740842105263159,0.73255885,0.5635999999999999,1.9780016
