train_acc,train_loss,val_acc,val_loss
0.06206315789473685,4.1170845,0.12119999999999999,3.7562394
0.1506736842105263,3.5322213,0.18359999999999999,3.4072523
0.22389473684210529,3.1099222,0.25520000000000004,2.965832
0.2921263157894737,2.7575033,0.2968,2.8757915
0.3457473684210525,2.4859786,0.3440000000000001,2.5251906
0.3928631578947368,2.2695854,0.38079999999999997,2.3140187
0.42589473684210527,2.1125247,0.43520000000000003,2.1108634
0.46073684210526317,1.9722221,0.4232,2.164784
0.48143157894736843,1.8759294,0.446,2.009541
0.5013263157894736,1.7826087,0.4768,1.907631
0.5200842105263158,1.7097322,0.466,2.043369
0.5338736842105263,1.6496826,0.4563999999999999,2.0806777
0.5459157894736844,1.6041088,0.47519999999999996,1.9265234
0.5627368421052631,1.5399023,0.4960000000000001,1.8642399
0.568778947368421,1.5010139,0.5244000000000001,1.7697791
0.5823157894736842,1.4605942,0.5312,1.7194644
0.5917473684210526,1.4236361,0.5284,1.7620397
0.5994947368421054,1.390679,0.5188,1.7771262
0.6078947368421053,1.3507718,0.5324,1.7250253
0.6166105263157895,1.3219261,0.5468,1.7420651
0.6226526315789475,1.2945379,0.56,1.6424903
0.6300631578947368,1.2627509,0.5392,1.6764696
0.6382105263157895,1.2365872,0.5468,1.7463418
0.6430105263157894,1.2136202,0.512,1.8498074
0.6483157894736842,1.1869546,0.5784,1.5627377
0.6541894736842105,1.1657826,0.5756,1.5990826
0.6590736842105263,1.1493888,0.5472,1.6918074
0.6670526315789473,1.1201354,0.5660000000000001,1.6438706
0.6734315789473684,1.094916,0.5711999999999999,1.6059014
0.6779157894736841,1.0801401,0.5631999999999999,1.6883743
0.6840842105263157,1.055497,0.5756,1.5879625
0.6885473684210528,1.0414598,0.5780000000000001,1.644554
0.6919789473684211,1.019525,0.58,1.6280322
0.6976421052631578,0.99855214,0.5648000000000001,1.6631231
0.7044842105263158,0.9774042,0.5952000000000001,1.5758246
0.7078315789473685,0.9636491,0.574,1.6624707
0.7120210526315789,0.9431976,0.5896,1.634572
0.7161263157894737,0.93049026,0.5832,1.6606652
0.7202105263157894,0.9198844,0.5852,1.6529156
0.7243578947368421,0.8988963,0.6032,1.5547217
0.7292421052631579,0.88497865,0.5996,1.6213934
0.732736842105263,0.8642524,0.5884,1.7158405
0.7353263157894736,0.8595964,0.5795999999999999,1.7148422
0.7425684210526315,0.83525246,0.6043999999999999,1.5884706
0.7464631578947369,0.81349415,0.6027999999999999,1.6349814
0.7485684210526317,0.80392784,0.6008,1.6471825
0.7553684210526315,0.7924829,0.6196,1.605441
0.7556421052631578,0.7765717,0.6043999999999999,1.5972781
0.7624631578947367,0.75955826,0.5980000000000001,1.6427802
0.7654315789473684,0.7470008,0.604,1.6622653
0.7678947368421053,0.7357628,0.6064,1.6554791
0.7738526315789473,0.719525,0.5992000000000001,1.6553189
0.7765473684210527,0.7120178,0.606,1.6637303
0.7807368421052631,0.69643307,0.61,1.6786399
0.7845052631578948,0.6812713,0.6128000000000001,1.6862984
0.7861052631578946,0.6705744,0.6148,1.6516142
0.7901263157894736,0.6551167,0.6032,1.75201
0.7961263157894736,0.64480495,0.6048,1.7213904
0.7978105263157894,0.630865,0.6108,1.7170444
0.8025052631578948,0.61599106,0.6136,1.764681
0.8063368421052631,0.60423034,0.62,1.6840494
0.8093894736842104,0.5939615,0.618,1.7128389
0.8157473684210527,0.5779185,0.616,1.7374278
0.8159578947368422,0.57093495,0.6232,1.7349482
0.8202736842105263,0.5576347,0.6155999999999999,1.7965937
0.8238526315789473,0.55003476,0.6175999999999999,1.7881601
0.8258105263157894,0.5407081,0.6192000000000001,1.7496945
0.8294105263157895,0.52677417,0.6140000000000001,1.7876999
0.8335578947368419,0.51811415,0.6172,1.7612414
0.8354526315789474,0.507185,0.6196,1.8385419
0.8408210526315789,0.49488276,0.612,1.8549358
0.8405684210526315,0.4902854,0.6140000000000001,1.8486003
0.843642105263158,0.48131925,0.6212000000000001,1.8261282
0.8477894736842105,0.4713759,0.6155999999999999,1.874733
0.8484631578947368,0.46764666,0.6232,1.8166815
0.8509052631578948,0.4574062,0.6207999999999999,1.8275179
0.8525263157894738,0.44902465,0.6227999999999999,1.869619
0.855978947368421,0.43874404,0.6252,1.8631439
0.8563157894736843,0.43774036,0.6276000000000002,1.8899399
0.8599368421052631,0.42532825,0.6255999999999999,1.9075856
0.8616421052631579,0.42165446,0.6192,1.9231933
0.8642947368421052,0.41885784,0.6192,1.929338
0.8651578947368422,0.41273332,0.6272000000000001,1.9164374
0.8695157894736842,0.40198725,0.6192,1.9349811
0.8688,0.40035728,0.6215999999999999,1.9235299
0.8697263157894737,0.3940163,0.6192,1.9317763
0.8741894736842105,0.38539582,0.6276,1.9357095
0.8714105263157895,0.38847378,0.6268,1.9411491
0.8748421052631579,0.3791022,0.6300000000000001,1.9196275
0.8761894736842105,0.37557176,0.6284,1.9350145
0.8749263157894738,0.37805954,0.6255999999999999,1.9337268
0.8776,0.3734677,0.6248,1.9440341
0.8776421052631579,0.37304986,0.6244,1.9724011
0.878842105263158,0.3686353,0.6256,1.9498689
0.8802736842105263,0.36688882,0.626,1.9649632
0.8782526315789474,0.3678788,0.6244,1.9390368
0.8803157894736842,0.36643997,0.622,1.9689128
0.8817894736842106,0.3602713,0.6224,1.950925
0.8826315789473684,0.3604773,0.6244000000000001,1.9739615
0.8814526315789474,0.36214477,0.6255999999999999,1.9617164
