train_acc,train_loss,val_acc,val_loss
0.02732631578947368,4.4032297,0.0444,4.169951
0.04966315789473685,4.1411242,0.056400000000000006,4.073585
0.06366315789473685,4.0299144,0.08040000000000001,3.9238763
0.07924210526315789,3.93814,0.0984,3.860052
0.09383157894736842,3.8505104,0.1024,3.8408725
0.10947368421052633,3.765556,0.12119999999999999,3.7064154
0.1192421052631579,3.690924,0.1392,3.5919344
0.1357263157894737,3.6063638,0.1404,3.5680997
0.1493684210526316,3.5346491,0.1668,3.4508479
0.16433684210526317,3.4535234,0.158,3.4217505
0.17290526315789473,3.3883543,0.17520000000000002,3.3752024
0.1890105263157895,3.3139153,0.17960000000000004,3.3053787
0.1993894736842105,3.2506328,0.2008,3.2489295
0.2123157894736842,3.1873288,0.21840000000000004,3.1459832
0.22374736842105264,3.1273735,0.22080000000000002,3.0972452
0.23282105263157896,3.066955,0.2528,3.0164025
0.24515789473684207,3.001516,0.262,2.9684808
0.2562736842105263,2.9455252,0.28,2.9073865
0.2680631578947368,2.8901794,0.2692,2.896696
0.2768631578947368,2.834981,0.2872,2.8263385
0.28675789473684205,2.786865,0.274,2.8399208
0.29511578947368416,2.7307596,0.2952,2.7842524
0.3065684210526316,2.6888282,0.3176,2.6616724
0.31450526315789473,2.647284,0.2948,2.768792
0.32589473684210524,2.600445,0.32160000000000005,2.6325212
0.3334105263157895,2.561398,0.3176,2.6786094
0.3388842105263158,2.535432,0.3472,2.5568502
0.34983157894736844,2.4886873,0.35479999999999995,2.4779532
0.3529894736842105,2.4559767,0.3384,2.567151
0.35738947368421053,2.4301608,0.33039999999999997,2.5633957
0.36734736842105264,2.3912725,0.34,2.529258
0.376421052631579,2.357477,0.3532,2.4467094
0.3791578947368421,2.3349783,0.34119999999999995,2.4757862
0.3864,2.304686,0.36119999999999997,2.4485848
0.39147368421052636,2.2730489,0.35640000000000005,2.410878
0.3988,2.252135,0.35719999999999996,2.4633932
0.4030105263157895,2.2272813,0.3772,2.3393013
0.4056,2.2052543,0.3632,2.3754952
0.4142526315789474,2.175814,0.3936,2.309314
0.41776842105263157,2.1572707,0.3884,2.2806213
0.42444210526315784,2.1265168,0.364,2.4034154
0.4273052631578948,2.1048803,0.3972,2.2564492
0.43482105263157894,2.0862231,0.4008,2.2285676
0.43842105263157893,2.0694962,0.4028,2.2375817
0.4434105263157895,2.043081,0.39879999999999993,2.2155416
0.44560000000000005,2.0292716,0.3868000000000001,2.3088222
0.4505473684210526,2.0044296,0.41479999999999995,2.188787
0.4581052631578948,1.9827096,0.41600000000000004,2.1746233
0.4592842105263158,1.9675317,0.41,2.2126484
0.46625263157894736,1.9547778,0.4244,2.1341777
0.46814736842105265,1.9392252,0.41,2.2071846
0.4728421052631579,1.9172337,0.4172,2.2180338
0.4777263157894737,1.9069682,0.4228,2.1355665
0.4801684210526316,1.8851649,0.42440000000000005,2.0794344
0.48454736842105267,1.8703367,0.4276,2.1349146
0.48347368421052633,1.8565692,0.4256,2.096383
0.48886315789473683,1.8425684,0.44439999999999996,2.066
0.49168421052631583,1.8287417,0.436,2.0507271
0.496421052631579,1.8113885,0.442,2.0529852
0.500821052631579,1.8003398,0.43439999999999995,2.1123633
0.5002526315789474,1.789188,0.4424,2.0580544
0.5062315789473685,1.7720212,0.4464,2.0562344
0.5084842105263158,1.754862,0.43560000000000004,2.06538
0.5113684210526316,1.7414417,0.4532,2.0327299
0.5158526315789473,1.7273303,0.4463999999999999,2.0601919
0.5175157894736842,1.7182603,0.44079999999999997,2.0311701
0.5232842105263158,1.7085735,0.45519999999999994,1.9880158
0.5246526315789474,1.6984012,0.4512,2.0364954
0.525221052631579,1.6868483,0.44919999999999993,2.0271623
0.5315368421052632,1.6716582,0.4556,2.0179245
0.5318105263157895,1.6646518,0.4584,1.9996018
0.5353894736842105,1.6533097,0.46,1.9884335
0.5357263157894737,1.6469506,0.4628,1.9837143
0.5381894736842106,1.6347758,0.4544,2.0319393
0.5416210526315789,1.6231683,0.4628,1.9888818
0.5438315789473684,1.6189299,0.466,1.9729098
0.546442105263158,1.6093246,0.4672,1.968046
0.5491157894736843,1.6044414,0.4679999999999999,1.9637387
0.5508421052631578,1.593694,0.4711999999999999,1.9664949
0.5521263157894737,1.5905312,0.4756,1.9591665
0.5512210526315791,1.5903941,0.4648,1.9573485
0.5547578947368421,1.5773184,0.46919999999999995,1.958647
0.5550526315789474,1.5748383,0.4704,1.9580988
0.555221052631579,1.5643656,0.47479999999999994,1.950154
0.559978947368421,1.5553417,0.4756,1.9479946
0.5607368421052632,1.550102,0.4752000000000001,1.9505123
0.5568421052631579,1.5543941,0.47319999999999995,1.9554877
0.5609263157894738,1.5471556,0.47559999999999997,1.9665253
0.5611789473684211,1.5382069,0.47759999999999997,1.9593663
0.5651368421052632,1.53429,0.47320000000000007,1.9607315
0.5656210526315789,1.5337877,0.47800000000000004,1.9466164
0.5647578947368421,1.5295109,0.47919999999999996,1.9506685
0.5645684210526315,1.5341278,0.4768,1.9605054
0.5646315789473685,1.5303804,0.4772,1.9403511
0.5662105263157895,1.5247264,0.4776,1.9503882
0.5659157894736841,1.5182416,0.48040000000000005,1.9451655
0.5652631578947368,1.522772,0.4792,1.9432883
0.5708,1.5122967,0.4759999999999999,1.9513369
0.5700842105263157,1.514125,0.47440000000000004,1.9560488
0.5688631578947368,1.5238223,0.47759999999999997,1.9485272
